UMAP1,UMAP2
7.5595546,-10.946512
7.5811114,-10.947841
7.730574,-10.967243
7.7564645,-10.970091
7.783247,-10.973563
7.8574243,-10.983182
7.9159613,-10.992295
7.972724,-10.999373
8.0012865,-11.003579
8.05397,-11.009932
8.069238,-11.01285
8.101684,-11.016996
8.202886,-11.029747
8.249094,-11.03603
8.28855,-11.04026
8.331485,-11.046584
8.363572,-11.049463
8.402912,-11.054295
8.468127,-11.06265
8.50472,-11.068452
8.578646,-11.076175
8.608714,-11.080032
8.679056,-11.089988
8.738494,-11.097713
8.778363,-11.1030245
8.858093,-11.114481
9.018915,-11.138104
9.050451,-11.142923
9.118276,-11.154657
9.203242,-11.167459
9.263032,-11.17373
9.349754,-11.187371
9.412474,-11.196221
9.512162,-11.21056
9.547067,-11.215184
9.62251,-11.2269535
9.664961,-11.231283
9.725873,-11.228288
9.811721,-11.252342
9.889812,-11.246365
9.898691,-11.263898
9.984873,-11.268053
10.009166,-11.279527
10.080507,-11.283349
10.187558,-11.295481
10.278744,-11.306067
10.358175,-11.312654
10.385467,-11.317403
10.471033,-11.32382
10.61831,-11.316632
10.584574,-11.344494
10.690105,-11.341558
10.747859,-11.344981
10.784618,-11.349836
10.863464,-11.356703
10.905778,-11.364117
10.952547,-11.36472
11.026269,-11.392275
11.068142,-11.384756
11.120783,-11.39046
11.196216,-11.403803
11.196364,-11.3785095
11.285914,-11.413472
11.365049,-11.420545
11.386576,-11.422969
11.430829,-11.428841
11.547967,-11.434722
11.558928,-11.439707
11.631399,-11.441621
11.706118,-11.446612
11.719593,-11.4495735
11.871975,-11.454282
11.864745,-11.458063
11.956065,-11.458505
11.985476,-11.460035
12.090009,-11.4630575
12.08145,-11.46246
12.18167,-11.464722
12.235924,-11.469269
12.260056,-11.466568
12.35036,-11.462547
12.39025,-11.462597
12.444712,-11.459547
12.401584,-11.467162
12.493803,-11.456074
12.600442,-11.445441
12.621721,-11.442783
12.690905,-11.434832
12.709836,-11.432355
12.774247,-11.422773
12.840248,-11.414065
12.886327,-11.40764
12.955117,-11.396369
12.966887,-11.393134
13.035336,-11.379018
13.068308,-11.375803
13.132576,-11.365049
13.153218,-11.359538
13.22281,-11.342961
13.23213,-11.341094
13.290181,-11.331058
13.39269,-11.305836
13.405621,-11.30994
13.4390335,-11.29099
13.484315,-11.278226
13.529897,-11.265319
13.552811,-11.260928
13.63203,-11.240333
13.653972,-11.224313
13.713778,-11.201585
13.752082,-11.18502
13.794686,-11.167871
13.82871,-11.153094
13.854543,-11.141478
13.895133,-11.122261
13.916985,-11.111613
13.94215,-11.098775
13.993428,-11.070278
14.002422,-11.072469
14.046645,-11.0586195
14.104105,-11.022467
14.134983,-11.007291
14.164907,-10.996548
14.193689,-10.978874
14.27249,-10.935533
14.28241,-10.933127
14.314967,-10.909735
14.382146,-10.87012
14.400896,-10.857827
14.430187,-10.842957
14.467044,-10.817545
14.482156,-10.807796
14.52715,-10.779995
14.53757,-10.773975
14.592705,-10.741584
14.662908,-10.698317
14.693603,-10.684879
14.745897,-10.658395
14.773274,-10.643188
14.772643,-10.638295
14.823689,-10.612713
14.849759,-10.59959
14.901794,-10.572102
14.910051,-10.568058
14.962848,-10.539512
15.007813,-10.517393
14.980483,-10.530386
15.027962,-10.505557
15.070118,-10.485127
15.159866,-10.439213
15.177115,-10.42914
15.194487,-10.421252
15.215382,-10.40998
15.235866,-10.400811
15.278033,-10.385944
15.2941065,-10.374171
15.322342,-10.36397
15.350904,-10.351205
15.376742,-10.340124
15.405031,-10.3301525
15.435946,-10.318641
15.46619,-10.310195
15.500692,-10.302455
15.571331,-10.286726
15.556779,-10.291928
15.58264,-10.288079
15.603035,-10.282669
15.635565,-10.280523
